,Online boarding,Inflight entertainment,Type of Travel,Class
44658,3,3,Business travel,Eco
44659,3,2,Personal Travel,Eco Plus
44660,1,3,Personal Travel,Eco Plus
44661,3,4,Personal Travel,Eco
44662,2,5,Business travel,Business
44663,4,2,Personal Travel,Eco Plus
44664,1,2,Personal Travel,Eco
44665,1,4,Business travel,Eco
44666,2,2,Business travel,Eco
44667,1,1,Business travel,Eco
44668,4,3,Personal Travel,Eco
44669,1,5,Personal Travel,Eco Plus
44670,2,3,Personal Travel,Eco
44671,3,3,Personal Travel,Eco
44672,2,3,Business travel,Eco Plus
44673,1,5,Personal Travel,Eco
44674,1,1,Business travel,Eco
44675,3,1,Business travel,Business
44676,3,1,Business travel,Business
44677,3,3,Business travel,Eco Plus
44678,4,5,Business travel,Business
44679,3,5,Business travel,Business
44680,5,4,Business travel,Business
44681,5,3,Business travel,Business
44682,4,2,Business travel,Business
44683,2,5,Business travel,Business
44684,3,2,Personal Travel,Eco
44685,4,5,Business travel,Business
44686,1,5,Business travel,Business
44687,1,3,Business travel,Business
44688,5,4,Business travel,Business
44689,5,4,Business travel,Business
44690,5,4,Business travel,Business
44691,5,4,Business travel,Business
44692,2,2,Business travel,Eco
44693,1,3,Business travel,Eco
44694,4,4,Personal Travel,Eco
44695,4,3,Business travel,Business
44696,1,1,Business travel,Business
44697,3,4,Business travel,Eco
44698,4,4,Business travel,Business
44699,5,1,Personal Travel,Eco
44700,2,2,Business travel,Business
44701,3,2,Business travel,Business
44702,3,2,Business travel,Eco
44703,3,2,Personal Travel,Eco
44704,3,3,Business travel,Eco
44705,2,1,Personal Travel,Eco
44706,5,5,Business travel,Business
44707,5,2,Business travel,Business
44708,5,5,Business travel,Eco
44709,1,1,Business travel,Eco Plus
44710,5,3,Business travel,Business
44711,4,2,Business travel,Business
44712,5,4,Business travel,Business
44713,5,3,Business travel,Business
44714,3,1,Personal Travel,Eco Plus
44715,1,4,Business travel,Eco
44716,5,2,Business travel,Business
44717,4,5,Business travel,Business
44718,4,5,Business travel,Business
44719,3,5,Business travel,Eco
44720,1,5,Business travel,Eco
44721,5,5,Business travel,Eco
44722,1,1,Business travel,Eco
44723,2,5,Business travel,Eco
44724,2,1,Business travel,Eco
44725,2,1,Business travel,Eco
44726,3,3,Business travel,Business
44727,5,5,Personal Travel,Eco
44728,3,4,Business travel,Business
44729,2,4,Personal Travel,Eco
44730,4,4,Business travel,Business
44731,5,4,Business travel,Business
44732,5,5,Business travel,Business
44733,3,5,Business travel,Business
44734,3,3,Business travel,Business
44735,3,3,Business travel,Business
44736,2,2,Personal Travel,Eco
44737,2,2,Personal Travel,Eco Plus
44738,5,1,Personal Travel,Eco
44739,5,4,Business travel,Business
44740,4,5,Business travel,Business
44741,3,2,Business travel,Eco
44742,3,5,Business travel,Business
44743,4,5,Personal Travel,Eco
44744,5,2,Personal Travel,Eco
44745,3,4,Business travel,Eco Plus
44746,3,4,Business travel,Eco
44747,2,2,Business travel,Business
44748,1,5,Business travel,Business
44749,3,5,Business travel,Business
44750,4,2,Business travel,Business
44751,5,5,Business travel,Business
44752,4,5,Business travel,Business
44753,2,5,Business travel,Eco
44754,1,1,Business travel,Business
44755,4,5,Business travel,Business
44756,3,1,Personal Travel,Eco
44757,4,4,Business travel,Business
44758,1,1,Personal Travel,Eco
44759,1,4,Business travel,Business
44760,2,4,Business travel,Eco
44761,4,4,Personal Travel,Eco
44762,4,5,Personal Travel,Eco
44763,4,1,Business travel,Eco
44764,4,4,Business travel,Business
44765,4,5,Business travel,Business
44766,5,4,Business travel,Business
44767,4,4,Personal Travel,Eco
44768,4,4,Business travel,Business
44769,3,1,Personal Travel,Eco
44770,3,4,Personal Travel,Eco
44771,4,4,Business travel,Business
44772,3,3,Business travel,Business
44773,4,5,Personal Travel,Eco
44774,4,4,Business travel,Business
44775,2,3,Business travel,Business
44776,3,2,Personal Travel,Business
44777,4,4,Personal Travel,Eco
44778,2,2,Business travel,Business
44779,4,2,Personal Travel,Eco
44780,5,5,Business travel,Business
44781,4,5,Business travel,Business
44782,2,2,Business travel,Business
44783,3,2,Personal Travel,Eco
44784,3,3,Business travel,Eco
44785,3,2,Personal Travel,Eco Plus
44786,3,3,Business travel,Eco
44787,4,5,Business travel,Business
44788,5,5,Business travel,Business
44789,4,4,Business travel,Eco
44790,5,5,Business travel,Business
44791,2,1,Business travel,Eco
44792,2,5,Business travel,Business
44793,3,1,Business travel,Eco
44794,3,5,Personal Travel,Eco Plus
44795,2,1,Personal Travel,Eco
44796,4,4,Business travel,Business
44797,3,2,Business travel,Eco
44798,2,3,Business travel,Eco
44799,3,5,Personal Travel,Eco
44800,1,4,Business travel,Eco
44801,5,4,Business travel,Business
44802,2,4,Business travel,Business
44803,3,3,Business travel,Eco
44804,5,5,Personal Travel,Eco
44805,5,2,Personal Travel,Eco
44806,3,2,Business travel,Business
44807,4,4,Business travel,Eco
44808,5,4,Business travel,Eco Plus
44809,5,5,Business travel,Eco
44810,5,1,Business travel,Business
44811,3,3,Personal Travel,Eco
44812,5,3,Personal Travel,Eco Plus
44813,4,2,Personal Travel,Eco
44814,3,5,Business travel,Business
44815,3,4,Business travel,Eco Plus
44816,4,4,Business travel,Business
44817,4,4,Business travel,Business
44818,2,2,Personal Travel,Eco
44819,4,4,Business travel,Business
44820,3,3,Personal Travel,Eco
44821,5,4,Business travel,Business
44822,2,2,Business travel,Business
44823,4,5,Business travel,Business
44824,4,4,Business travel,Eco
44825,4,4,Business travel,Business
44826,5,4,Business travel,Business
44827,5,4,Personal Travel,Eco
44828,3,4,Personal Travel,Eco
44829,5,4,Business travel,Business
44830,1,1,Business travel,Eco
44831,2,3,Business travel,Business
44832,5,2,Business travel,Business
44833,3,5,Business travel,Eco
44834,4,3,Business travel,Business
44835,1,5,Business travel,Business
44836,3,2,Personal Travel,Eco
44837,4,4,Business travel,Business
44838,5,4,Business travel,Business
44839,5,5,Business travel,Business
44840,1,4,Personal Travel,Eco
44841,3,4,Business travel,Business
44842,3,3,Business travel,Business
44843,3,5,Business travel,Eco
44844,5,4,Business travel,Business
44845,2,3,Personal Travel,Eco
44846,4,4,Business travel,Business
44847,4,4,Business travel,Eco
44848,3,5,Business travel,Business
44849,4,4,Business travel,Eco
44850,4,1,Business travel,Eco
44851,5,2,Personal Travel,Eco Plus
44852,5,2,Business travel,Eco
44853,4,4,Business travel,Eco
44854,4,5,Personal Travel,Eco
44855,5,3,Personal Travel,Eco Plus
44856,5,3,Business travel,Business
44857,4,2,Personal Travel,Eco
44858,3,5,Business travel,Business
44859,3,4,Personal Travel,Eco
44860,2,1,Business travel,Business
44861,3,4,Personal Travel,Eco
44862,3,4,Personal Travel,Business
44863,2,2,Business travel,Business
44864,1,2,Personal Travel,Eco
44865,1,1,Business travel,Business
44866,5,5,Business travel,Business
44867,2,2,Business travel,Eco
44868,5,4,Business travel,Eco
44869,3,3,Business travel,Business
44870,3,5,Business travel,Business
44871,2,2,Personal Travel,Eco
44872,1,1,Business travel,Eco
44873,4,5,Business travel,Business
44874,1,1,Personal Travel,Eco
44875,5,5,Business travel,Business
44876,3,2,Business travel,Eco
44877,1,4,Business travel,Business
44878,5,5,Personal Travel,Business
44879,1,1,Business travel,Eco Plus
44880,2,4,Personal Travel,Eco
44881,3,5,Business travel,Business
44882,5,5,Business travel,Eco Plus
44883,5,4,Business travel,Business
44884,5,5,Business travel,Business
44885,2,2,Business travel,Business
44886,5,5,Business travel,Business
44887,3,5,Business travel,Eco
44888,4,4,Personal Travel,Business
44889,5,4,Business travel,Business
44890,2,4,Business travel,Business
44891,4,5,Business travel,Eco
44892,3,4,Business travel,Eco
44893,3,5,Business travel,Eco
44894,1,2,Personal Travel,Eco
44895,3,2,Personal Travel,Eco
44896,2,1,Personal Travel,Eco Plus
44897,1,2,Personal Travel,Eco
44898,5,5,Business travel,Business
44899,2,3,Business travel,Business
44900,5,4,Business travel,Business
44901,2,5,Business travel,Eco
44902,3,2,Business travel,Eco
44903,3,5,Personal Travel,Eco
44904,1,4,Business travel,Business
44905,4,2,Business travel,Business
44906,1,3,Personal Travel,Eco
44907,5,2,Personal Travel,Eco
44908,4,5,Business travel,Business
44909,1,5,Personal Travel,Eco
44910,2,5,Business travel,Business
44911,4,3,Business travel,Business
44912,1,3,Personal Travel,Eco
44913,4,3,Business travel,Business
44914,4,2,Business travel,Eco
44915,4,1,Personal Travel,Eco
44916,3,3,Business travel,Business
44917,2,2,Business travel,Eco
44918,2,3,Business travel,Business
44919,2,4,Personal Travel,Eco
44920,3,3,Business travel,Eco Plus
44921,1,3,Business travel,Eco
44922,4,5,Personal Travel,Eco
44923,4,5,Business travel,Business
44924,2,2,Personal Travel,Eco
44925,5,2,Personal Travel,Eco
44926,3,2,Personal Travel,Eco
44927,3,1,Business travel,Business
44928,5,4,Personal Travel,Eco
44929,1,5,Business travel,Eco
44930,4,5,Business travel,Business
44931,4,5,Business travel,Business
44932,1,1,Business travel,Business
44933,1,4,Personal Travel,Eco
44934,1,2,Business travel,Eco Plus
44935,1,2,Business travel,Business
44936,4,2,Business travel,Business
44937,4,3,Personal Travel,Eco
44938,5,5,Business travel,Business
44939,5,5,Business travel,Eco
44940,4,2,Business travel,Business
44941,3,4,Business travel,Eco
44942,4,4,Business travel,Business
44943,3,4,Business travel,Eco
44944,5,4,Business travel,Eco
44945,3,4,Business travel,Business
44946,5,4,Business travel,Business
44947,3,2,Business travel,Eco
44948,4,5,Business travel,Business
44949,4,4,Business travel,Business
44950,3,3,Personal Travel,Eco
44951,3,5,Business travel,Eco
44952,2,3,Business travel,Business
44953,3,1,Personal Travel,Eco
44954,1,4,Personal Travel,Eco Plus
44955,4,3,Business travel,Business
44956,4,4,Business travel,Business
44957,5,5,Business travel,Business
44958,3,2,Personal Travel,Eco
44959,3,2,Personal Travel,Eco
44960,3,2,Personal Travel,Eco
44961,2,4,Business travel,Eco
44962,5,5,Business travel,Business
44963,5,4,Business travel,Business
44964,4,2,Business travel,Business
44965,4,5,Personal Travel,Eco
44966,5,2,Business travel,Business
44967,2,3,Business travel,Business
44968,3,2,Personal Travel,Eco
44969,4,2,Business travel,Business
44970,3,3,Business travel,Business
44971,5,5,Business travel,Eco
44972,4,1,Business travel,Business
44973,5,4,Business travel,Business
44974,1,2,Personal Travel,Eco Plus
44975,5,5,Business travel,Business
44976,4,4,Business travel,Eco
44977,5,5,Business travel,Business
44978,3,3,Business travel,Eco
44979,5,4,Business travel,Business
44980,1,2,Business travel,Business
44981,4,4,Business travel,Business
44982,3,1,Business travel,Eco
44983,4,4,Business travel,Business
44984,4,5,Business travel,Business
44985,4,2,Business travel,Eco
44986,3,1,Business travel,Eco
44987,2,5,Business travel,Eco
44988,1,2,Personal Travel,Eco
44989,4,4,Business travel,Eco
44990,3,3,Business travel,Eco Plus
44991,2,3,Personal Travel,Eco
44992,1,2,Personal Travel,Eco Plus
44993,3,5,Business travel,Eco
44994,4,4,Business travel,Business
44995,3,1,Business travel,Eco
44996,4,5,Business travel,Business
44997,2,1,Personal Travel,Eco
44998,3,1,Business travel,Business
44999,3,1,Personal Travel,Eco
45000,5,5,Personal Travel,Eco
45001,3,1,Business travel,Eco
45002,3,1,Business travel,Business
45003,5,2,Business travel,Business
45004,5,4,Business travel,Business
45005,5,5,Business travel,Business
45006,4,2,Personal Travel,Eco
45007,2,4,Business travel,Eco
45008,3,3,Business travel,Business
45009,4,5,Business travel,Business
45010,2,4,Business travel,Eco
45011,4,4,Business travel,Eco
45012,2,2,Business travel,Business
45013,3,2,Business travel,Eco
45014,2,1,Personal Travel,Eco
45015,2,3,Business travel,Eco
45016,4,5,Business travel,Business
45017,2,2,Business travel,Eco
45018,4,4,Personal Travel,Eco Plus
45019,4,4,Business travel,Business
45020,5,2,Personal Travel,Eco
45021,4,5,Business travel,Business
45022,4,4,Business travel,Business
45023,4,4,Business travel,Business
45024,5,5,Business travel,Eco
45025,5,5,Personal Travel,Eco Plus
45026,5,4,Business travel,Business
45027,3,3,Business travel,Eco
45028,5,5,Business travel,Eco
45029,3,2,Business travel,Business
45030,2,2,Business travel,Business
45031,2,1,Business travel,Business
45032,4,5,Business travel,Business
45033,1,4,Business travel,Business
45034,2,1,Business travel,Eco
45035,3,4,Business travel,Eco
45036,4,1,Personal Travel,Eco
45037,1,5,Personal Travel,Eco
45038,1,4,Business travel,Business
45039,5,5,Business travel,Business
45040,4,2,Business travel,Business
45041,1,3,Personal Travel,Eco
45042,3,3,Business travel,Eco
45043,1,2,Business travel,Business
45044,5,5,Business travel,Eco
45045,4,1,Business travel,Business
45046,3,3,Personal Travel,Eco
45047,4,3,Business travel,Business
45048,3,2,Personal Travel,Eco
45049,1,2,Personal Travel,Eco
45050,2,5,Business travel,Business
45051,3,4,Business travel,Business
45052,2,4,Business travel,Business
45053,4,1,Personal Travel,Eco
45054,1,5,Personal Travel,Eco
45055,5,5,Business travel,Business
45056,2,1,Business travel,Business
45057,4,2,Personal Travel,Eco Plus
45058,3,2,Business travel,Eco
45059,3,2,Business travel,Eco
45060,4,4,Business travel,Business
45061,2,3,Business travel,Business
45062,3,3,Personal Travel,Eco
45063,5,5,Business travel,Eco
45064,1,5,Personal Travel,Eco
45065,3,1,Business travel,Eco
45066,3,2,Business travel,Eco
45067,4,4,Business travel,Business
45068,3,1,Personal Travel,Eco
45069,4,4,Business travel,Business
45070,4,4,Business travel,Eco
45071,4,4,Business travel,Business
45072,2,2,Personal Travel,Eco
45073,2,3,Business travel,Eco Plus
45074,1,2,Personal Travel,Eco
45075,5,1,Business travel,Business
45076,4,1,Personal Travel,Eco
45077,3,5,Personal Travel,Eco
45078,3,5,Personal Travel,Eco
45079,3,3,Personal Travel,Business
45080,5,5,Personal Travel,Eco
45081,5,2,Personal Travel,Eco
45082,1,4,Business travel,Business
45083,1,1,Business travel,Eco
45084,4,4,Business travel,Business
45085,1,5,Personal Travel,Eco
45086,1,1,Business travel,Eco
45087,5,5,Business travel,Business
45088,4,5,Business travel,Business
45089,4,4,Business travel,Business
45090,3,1,Personal Travel,Eco
45091,5,5,Business travel,Business
45092,4,4,Business travel,Business
45093,2,2,Business travel,Business
45094,2,2,Business travel,Eco
45095,3,5,Personal Travel,Eco
45096,3,3,Business travel,Eco
45097,5,4,Business travel,Business
45098,2,3,Business travel,Business
45099,5,4,Personal Travel,Business
45100,4,4,Business travel,Business
45101,1,5,Personal Travel,Eco
45102,4,5,Business travel,Business
45103,4,4,Business travel,Eco
45104,4,5,Business travel,Business
45105,3,2,Business travel,Eco
45106,4,4,Business travel,Business
45107,3,4,Personal Travel,Eco
45108,3,1,Personal Travel,Eco
45109,3,1,Business travel,Eco
45110,3,3,Personal Travel,Eco
45111,3,2,Business travel,Business
45112,5,5,Business travel,Business
45113,2,4,Business travel,Business
45114,5,5,Business travel,Business
45115,4,4,Business travel,Eco
45116,4,5,Business travel,Business
45117,2,3,Business travel,Eco
45118,5,4,Business travel,Business
45119,5,3,Business travel,Business
45120,5,4,Business travel,Business
45121,1,5,Personal Travel,Eco
45122,4,4,Business travel,Business
45123,4,4,Business travel,Business
45124,4,4,Business travel,Business
45125,3,3,Business travel,Business
45126,2,4,Business travel,Eco
45127,1,5,Business travel,Business
45128,1,4,Business travel,Eco
45129,3,3,Personal Travel,Eco
45130,3,2,Business travel,Business
45131,5,2,Business travel,Eco
45132,4,4,Business travel,Business
45133,3,2,Business travel,Business
45134,4,4,Business travel,Business
45135,3,3,Business travel,Business
45136,3,4,Business travel,Eco
45137,3,3,Business travel,Business
45138,5,5,Business travel,Eco
45139,3,2,Business travel,Business
45140,3,5,Business travel,Business
45141,4,3,Business travel,Business
45142,1,5,Business travel,Eco
45143,4,2,Business travel,Business
45144,1,2,Personal Travel,Eco
45145,3,3,Business travel,Business
45146,3,3,Business travel,Eco
45147,5,4,Business travel,Business
45148,1,1,Business travel,Eco Plus
45149,4,4,Business travel,Business
45150,4,5,Personal Travel,Eco
45151,5,3,Personal Travel,Eco
45152,3,4,Business travel,Business
45153,3,4,Business travel,Business
45154,2,2,Personal Travel,Eco
45155,5,4,Business travel,Business
45156,2,4,Business travel,Business
45157,2,4,Personal Travel,Eco
45158,4,4,Business travel,Business
45159,4,5,Business travel,Business
45160,3,5,Business travel,Business
45161,3,1,Business travel,Eco
45162,4,1,Personal Travel,Eco
45163,3,5,Business travel,Business
45164,3,2,Personal Travel,Business
45165,3,1,Personal Travel,Eco Plus
45166,3,1,Business travel,Business
45167,2,5,Business travel,Eco
45168,4,4,Business travel,Business
45169,2,1,Business travel,Eco
45170,1,5,Personal Travel,Eco
45171,3,4,Personal Travel,Eco Plus
45172,3,3,Business travel,Business
45173,2,1,Personal Travel,Eco Plus
45174,4,1,Business travel,Business
45175,3,3,Business travel,Business
45176,2,4,Business travel,Eco
45177,4,2,Business travel,Business
45178,3,2,Business travel,Business
45179,4,1,Business travel,Eco
45180,1,3,Personal Travel,Eco
45181,3,5,Business travel,Eco
45182,2,1,Personal Travel,Eco Plus
45183,2,3,Personal Travel,Eco Plus
45184,2,2,Business travel,Business
45185,3,5,Business travel,Business
45186,4,4,Business travel,Eco
45187,2,4,Business travel,Business
45188,1,5,Business travel,Business
45189,3,5,Personal Travel,Eco
45190,3,1,Personal Travel,Eco
45191,3,4,Business travel,Business
45192,3,1,Business travel,Eco
45193,4,3,Business travel,Business
45194,2,2,Personal Travel,Eco
45195,4,5,Business travel,Business
45196,4,4,Business travel,Eco Plus
45197,4,5,Business travel,Eco
45198,5,5,Business travel,Business
45199,4,4,Business travel,Business
45200,5,4,Business travel,Business
45201,5,5,Business travel,Business
45202,2,2,Business travel,Eco
45203,2,2,Personal Travel,Eco
45204,2,2,Business travel,Eco
45205,4,3,Business travel,Business
45206,2,1,Personal Travel,Eco
45207,2,4,Personal Travel,Eco
45208,5,2,Personal Travel,Eco
45209,3,5,Business travel,Eco
45210,3,3,Personal Travel,Eco
45211,4,3,Personal Travel,Eco
45212,2,5,Business travel,Eco
45213,3,4,Business travel,Business
45214,5,5,Business travel,Business
45215,4,3,Personal Travel,Business
45216,5,5,Business travel,Eco
45217,4,4,Business travel,Business
45218,4,5,Personal Travel,Eco
45219,5,3,Business travel,Business
45220,2,2,Business travel,Eco
45221,1,1,Personal Travel,Eco
45222,4,2,Business travel,Business
45223,2,5,Personal Travel,Business
45224,4,4,Business travel,Business
45225,5,5,Business travel,Business
45226,5,3,Business travel,Business
45227,3,5,Personal Travel,Eco
45228,2,1,Business travel,Business
45229,4,3,Personal Travel,Business
45230,5,2,Business travel,Business
45231,2,2,Personal Travel,Eco
45232,5,5,Personal Travel,Eco
45233,3,2,Personal Travel,Eco
45234,5,4,Personal Travel,Eco
45235,4,4,Business travel,Eco
45236,3,2,Personal Travel,Eco
45237,3,3,Business travel,Eco
45238,3,2,Personal Travel,Eco
45239,3,3,Personal Travel,Eco Plus
45240,4,5,Business travel,Eco
45241,4,4,Business travel,Eco
45242,4,5,Business travel,Business
45243,1,4,Business travel,Business
45244,4,1,Personal Travel,Eco
45245,2,4,Personal Travel,Eco
45246,2,2,Personal Travel,Eco
45247,1,1,Business travel,Eco Plus
45248,4,5,Business travel,Eco
45249,4,4,Business travel,Business
45250,3,2,Business travel,Eco
45251,1,4,Business travel,Eco
45252,2,2,Business travel,Eco
45253,4,2,Business travel,Business
45254,4,4,Business travel,Eco
45255,1,3,Personal Travel,Eco
45256,5,2,Business travel,Business
45257,4,3,Business travel,Business
45258,4,4,Business travel,Eco
45259,2,3,Personal Travel,Eco
45260,2,2,Business travel,Eco
45261,5,1,Personal Travel,Eco
45262,2,5,Personal Travel,Eco Plus
45263,4,1,Business travel,Business
45264,1,2,Personal Travel,Eco
45265,2,3,Personal Travel,Eco
45266,3,3,Business travel,Business
45267,3,5,Personal Travel,Eco
45268,3,2,Personal Travel,Eco
45269,4,4,Business travel,Business
45270,5,5,Business travel,Eco
45271,2,3,Business travel,Business
45272,1,1,Business travel,Business
45273,2,5,Business travel,Eco
45274,5,4,Business travel,Business
45275,4,1,Personal Travel,Eco
45276,4,3,Business travel,Eco
45277,5,5,Business travel,Business
45278,4,4,Business travel,Business
45279,4,4,Business travel,Business
45280,5,5,Personal Travel,Business
45281,2,1,Business travel,Business
45282,4,3,Business travel,Business
45283,2,1,Personal Travel,Eco
45284,4,4,Business travel,Business
45285,5,4,Personal Travel,Eco
45286,3,4,Business travel,Eco
45287,3,4,Personal Travel,Eco
45288,3,1,Business travel,Business
45289,4,3,Business travel,Business
45290,3,3,Business travel,Eco
45291,3,2,Business travel,Eco
45292,1,3,Personal Travel,Eco
45293,1,1,Business travel,Eco
45294,3,3,Business travel,Eco
45295,5,5,Business travel,Business
45296,4,3,Personal Travel,Eco Plus
45297,5,2,Business travel,Business
45298,5,3,Business travel,Business
45299,5,5,Business travel,Eco Plus
45300,1,2,Business travel,Eco
45301,2,5,Business travel,Eco
45302,2,4,Business travel,Business
45303,3,5,Business travel,Business
45304,4,4,Business travel,Business
45305,4,3,Business travel,Eco
45306,3,4,Business travel,Business
45307,1,5,Business travel,Eco
45308,5,5,Business travel,Eco
45309,3,5,Business travel,Business
45310,5,4,Business travel,Business
45311,1,3,Personal Travel,Business
45312,5,5,Business travel,Business
45313,4,5,Business travel,Business
45314,2,4,Personal Travel,Business
45315,3,4,Personal Travel,Eco
45316,5,5,Business travel,Business
45317,4,2,Business travel,Eco
45318,4,4,Business travel,Business
45319,1,2,Personal Travel,Eco
45320,5,4,Business travel,Business
45321,4,5,Business travel,Business
45322,2,1,Personal Travel,Eco Plus
45323,5,4,Personal Travel,Eco
45324,3,3,Business travel,Business
45325,4,1,Personal Travel,Eco
45326,2,1,Personal Travel,Eco
45327,4,5,Business travel,Business
45328,3,1,Business travel,Eco
45329,3,2,Business travel,Business
45330,2,4,Business travel,Business
45331,3,3,Business travel,Business
45332,4,2,Personal Travel,Eco Plus
45333,4,1,Business travel,Business
45334,4,3,Personal Travel,Eco
45335,1,3,Business travel,Business
45336,1,2,Personal Travel,Eco
45337,4,2,Personal Travel,Eco
45338,5,4,Business travel,Business
45339,4,5,Business travel,Business
45340,4,3,Personal Travel,Eco
45341,1,4,Personal Travel,Eco
45342,5,4,Business travel,Business
45343,3,4,Personal Travel,Eco
45344,4,5,Business travel,Business
45345,2,3,Personal Travel,Eco
45346,5,4,Business travel,Business
45347,4,4,Business travel,Business
45348,5,5,Business travel,Business
45349,4,3,Business travel,Business
45350,4,3,Business travel,Business
45351,5,5,Business travel,Business
45352,4,1,Personal Travel,Eco
45353,5,5,Business travel,Eco Plus
45354,4,3,Business travel,Eco
45355,4,5,Business travel,Business
45356,3,3,Personal Travel,Eco
45357,4,5,Business travel,Business
45358,3,2,Business travel,Business
45359,3,5,Business travel,Business
45360,3,4,Personal Travel,Eco
45361,5,4,Business travel,Business
45362,5,4,Business travel,Business
45363,4,5,Personal Travel,Eco
45364,5,5,Business travel,Business
45365,4,4,Business travel,Business
45366,4,4,Business travel,Business
45367,5,4,Business travel,Business
45368,4,3,Business travel,Business
45369,5,1,Personal Travel,Eco
45370,4,4,Business travel,Business
45371,3,1,Business travel,Business
45372,1,3,Business travel,Business
45373,1,3,Personal Travel,Eco Plus
45374,1,5,Personal Travel,Eco
45375,3,1,Business travel,Business
45376,3,3,Business travel,Business
45377,5,4,Business travel,Business
45378,4,4,Business travel,Eco
45379,4,1,Business travel,Business
45380,4,4,Business travel,Business
45381,3,2,Business travel,Eco
45382,4,5,Business travel,Business
45383,3,4,Personal Travel,Eco
45384,5,5,Business travel,Business
45385,5,2,Personal Travel,Eco
45386,5,4,Business travel,Eco Plus
45387,2,4,Business travel,Eco
45388,3,4,Business travel,Eco
45389,1,4,Business travel,Eco
45390,4,5,Business travel,Business
45391,4,5,Business travel,Business
45392,3,3,Personal Travel,Eco
45393,4,4,Business travel,Business
45394,1,1,Business travel,Business
45395,3,5,Personal Travel,Eco
45396,1,2,Personal Travel,Business
45397,5,5,Business travel,Business
45398,3,1,Business travel,Business
45399,4,5,Business travel,Eco
45400,3,1,Personal Travel,Eco
45401,1,1,Business travel,Eco
45402,5,5,Business travel,Eco
45403,5,5,Business travel,Business
45404,5,5,Business travel,Business
45405,4,3,Business travel,Business
45406,3,3,Personal Travel,Eco
45407,4,1,Business travel,Eco
45408,5,4,Business travel,Business
45409,5,1,Business travel,Business
45410,4,4,Business travel,Business
45411,2,1,Business travel,Business
45412,4,5,Business travel,Eco
45413,4,5,Business travel,Business
45414,5,2,Personal Travel,Eco
45415,2,5,Personal Travel,Eco
45416,2,2,Business travel,Business
45417,4,5,Personal Travel,Business
45418,3,1,Business travel,Business
45419,5,4,Business travel,Business
45420,2,1,Business travel,Eco
45421,4,2,Business travel,Business
45422,2,4,Business travel,Business
45423,4,4,Business travel,Business
45424,4,4,Personal Travel,Eco
45425,5,4,Business travel,Business
45426,3,4,Business travel,Eco
45427,2,1,Business travel,Business
45428,4,1,Business travel,Business
45429,5,5,Business travel,Business
45430,4,3,Business travel,Business
45431,4,2,Business travel,Business
45432,5,2,Business travel,Eco
45433,3,4,Personal Travel,Eco
45434,3,2,Personal Travel,Eco
45435,4,2,Business travel,Business
45436,5,5,Business travel,Business
45437,5,4,Business travel,Business
45438,4,4,Business travel,Business
45439,2,5,Personal Travel,Eco
45440,2,2,Business travel,Eco
45441,4,4,Personal Travel,Eco
45442,2,2,Business travel,Business
45443,3,1,Business travel,Business
45444,4,5,Personal Travel,Eco
45445,3,3,Business travel,Eco Plus
45446,1,2,Personal Travel,Business
45447,2,3,Business travel,Eco
45448,2,4,Personal Travel,Eco
45449,2,2,Personal Travel,Eco
45450,1,3,Personal Travel,Eco
45451,4,1,Personal Travel,Eco
45452,4,4,Business travel,Business
45453,3,5,Personal Travel,Eco
45454,4,2,Personal Travel,Eco
45455,4,3,Personal Travel,Eco
45456,3,2,Business travel,Business
45457,2,2,Business travel,Eco Plus
45458,5,4,Business travel,Business
45459,3,2,Personal Travel,Eco
45460,5,1,Personal Travel,Eco
45461,5,4,Business travel,Business
45462,4,5,Personal Travel,Eco
45463,1,2,Business travel,Business
45464,3,5,Business travel,Eco
45465,4,4,Personal Travel,Eco Plus
45466,3,1,Business travel,Business
45467,4,5,Business travel,Business
45468,3,1,Business travel,Business
45469,2,2,Business travel,Business
45470,5,3,Personal Travel,Eco
45471,4,4,Business travel,Business
45472,4,5,Business travel,Eco
45473,1,5,Personal Travel,Eco
45474,3,5,Business travel,Eco
45475,4,4,Business travel,Business
45476,4,4,Business travel,Business
45477,3,2,Personal Travel,Eco
45478,2,3,Business travel,Eco
45479,5,5,Business travel,Business
45480,1,5,Business travel,Business
45481,4,4,Business travel,Eco Plus
45482,5,5,Business travel,Business
45483,5,5,Business travel,Business
45484,4,5,Personal Travel,Eco
45485,3,4,Business travel,Eco
45486,4,5,Business travel,Business
45487,1,5,Business travel,Business
45488,2,3,Business travel,Eco
45489,1,5,Personal Travel,Eco
45490,4,4,Business travel,Business
45491,4,2,Personal Travel,Eco
45492,4,4,Business travel,Eco Plus
45493,4,5,Business travel,Business
45494,2,4,Personal Travel,Business
45495,3,1,Business travel,Business
45496,5,1,Business travel,Business
45497,4,4,Business travel,Business
45498,3,2,Business travel,Eco
45499,4,1,Business travel,Business
45500,3,2,Business travel,Business
45501,4,4,Business travel,Business
45502,3,4,Personal Travel,Eco
45503,3,1,Business travel,Eco
45504,3,1,Business travel,Eco
45505,4,5,Business travel,Business
45506,2,2,Business travel,Business
45507,5,5,Business travel,Eco Plus
45508,3,3,Business travel,Eco Plus
45509,2,2,Personal Travel,Eco
45510,4,5,Business travel,Business
45511,3,4,Personal Travel,Business
45512,3,5,Business travel,Business
45513,2,3,Personal Travel,Eco
45514,5,4,Business travel,Business
45515,4,4,Business travel,Eco
